School_Name|Reg_nr|Language|Address|Year|Number_of_students|Active
Rīgas 93. vidusskola|3613900669|Latviešu|SESKU IELA 72, RĪGA, LV-1082|2009|525|1
Rīgas komercģimnāzija|3613900674|Latviešu|SALASPILS IELA 14, RĪGA, LV-1057|2009|264|1
Rīgas pilsētas Pļavnieku ģimnāzija|3613900675|Latviešu|ANDREJA SAHAROVA IELA 35, RĪGA, LV-1082|2009|376|1
Rīgas Kristīgā vidusskola|3613900676|Latviešu|AUGUSTA DEGLAVA IELA 3, RĪGA, LV-1009|2009|282|1
Rīgas Ukraiņu vidusskola|3613900788|Ukraiņu|VISVALŽA IELA 4, RĪGA, LV-1050|2009|220|1
Rīgas Lastādijas internātvidusskola|3613902656|LK|MASKAVAS IELA 178, RĪGA, LV-1019|2009|132|1
Rīgas Lietuviešu vidusskola|3613901263|Latviešu|PRŪŠU IELA 42a, RĪGA, LV-1057|2009|309|1
"Rīgas ģimnāzija ""Maksima"""|3613800446|Krievu|BULTU IELA 10, RĪGA, LV-1057|2009|14|1
Humanitārā privātģimnāzija|3613800690|Latviešu|KURBADA IELA 2, RĪGA, LV-1009|2009|78|1
"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS"""|3613801080|Krievu|VISVALŽA IELA 6, RĪGA, LV-1050|2009|90|1
"Privātā vidusskola ""Laisma"""|3613801461|LK|PRŪŠU IELA 13a, RĪGA, LV-1057|2009|57|1
Habad Ebreju privātā vidusskola|3613802155|Krievu|LĀČPLĒŠA IELA 141, RĪGA, LV-1003|2009|64|1
Privātskola „Innova”|3613802628|Krievu|MŪRNIEKU IELA 7, RĪGA, LV-1009|2009|52|1
Dienas apmācības klases pie Rīgas vakara ģimnāzijas|3614900691|LK|GAIZIŅA IELA 1, RĪGA, LV-1050|2009|167|1
Rīgas nedzirdīgo bērnu internātpamatskola|3620900695|Latviešu|ALEKSANDRA ČAKA IELA 42, RĪGA, LV-1011|2009|130|1
Rīgas speciālā pamatskola - attīstības centrs|3620900694|Latviešu|MATĪSA IELA 37/39, RĪGA, LV-1009|2009|161|1
Rīgas 2. speciālā internātpamatskola|3620900692|LK|LUDZAS IELA 43, RĪGA, LV-1003|2009|132|1
Rīgas speciālā internātpamatskola|3620900693|Krievu|AGLONAS IELA 57, RĪGA, LV-1057|2009|295|1
"Privātā sākumskola ""Namiņš"""|3711802689|Latviešu|ĀRAIŠU IELA 32, RĪGA, LV-1039|2009|6|1
Mežciema pamatskola|3712900760|Latviešu|HIPOKRĀTA IELA 29, RĪGA, LV-1079|2009|572|1
"Pamatskola ""Harmonija"""|3712800299|Latviešu|BĒRZAUNES IELA 36, RĪGA, LV-1039|2009|22|1
Rīgas Franču licejs|3713900740|Latviešu|MĒNESS IELA 8, RĪGA, LV-1013|2009|700|1
Rīgas Herdera vidusskola|3713900737|Krievu|SKOLAS IELA 32, RĪGA, LV-1010|2009|359|1
Rīgas 16. vidusskola|3713900739|Krievu|PĀLES IELA 9, RĪGA, LV-1024|2009|410|1
Rīgas 21. vidusskola|3713900750|Krievu|TOMSONA IELA 35, RĪGA, LV-1013|2009|486|1
Rīgas Teikas vidusskola|3713900746|Latviešu|AIZKRAUKLES IELA 14, RĪGA, LV-1006|2009|1017|1
Rīgas Juglas vidusskola|3713900757|Latviešu|KVĒLES IELA 64, RĪGA, LV-1064|2009|898|1
Rīgas 45. vidusskola|3713900742|Latviešu|ROPAŽU IELA 34, RĪGA, LV-1006|2009|616|1
Rīgas 49. vidusskola|3713900751|Latviešu|KRIŠJĀŅA VALDEMĀRA IELA 65, RĪGA, LV-1010|2009|822|1
Rīgas 60. vidusskola|3713900743|Krievu|VAIDAVAS IELA 6, RĪGA, LV-1084|2009|686|1
Rīgas 63. vidusskola|3713900755|Krievu|BALTEZERA IELA 6, RĪGA, LV-1024|2009|432|1
Rīgas 64. vidusskola|3713900756|Latviešu|ŪNIJAS IELA 93, RĪGA, LV-1084|2009|939|1
Rīgas 74. vidusskola|3713900758|Krievu|INDUĻA IELA 4, RĪGA, LV-1084|2009|519|1
Rīgas 80. vidusskola|3713900753|Krievu|ANDROMEDAS GATVE 11, RĪGA, LV-1084|2009|761|1
Rīgas 84. vidusskola|3713900735|Latviešu|LIELVĀRDES IELA 141, RĪGA, LV-1082|2009|840|1
Rīgas 85. vidusskola|3713900738|Latviešu|NĪCGALES IELA 22, RĪGA, LV-1035|2009|413|1
